Problem,Technique,Runs,Mean,Std,Min,Max
Problem11,Random Fuzzer,5,306.0,0.0,306,306
Problem11,Hill Climber,5,305.4,1.34,303,306
Problem11,Concolic Execution,5,139.6,12.46,127,157
Problem12,Random Fuzzer,5,322.0,6.28,312,327
Problem12,Hill Climber,5,399.0,2.24,395,400
Problem12,Concolic Execution,5,225.4,6.73,217,235
Problem13,Random Fuzzer,5,403.0,0.0,403,403
Problem13,Hill Climber,5,402.8,0.45,402,403
Problem13,Concolic Execution,5,172.4,32.53,152,230
Problem14,Random Fuzzer,5,509.0,14.02,484,517
Problem14,Hill Climber,5,1057.2,53.97,998,1140
Problem14,Concolic Execution,5,152.6,8.88,141,166
Problem15,Random Fuzzer,5,2116.0,0.0,2116,2116
Problem15,Hill Climber,5,2011.2,61.15,1908,2064
Problem15,Concolic Execution,5,804.6,177.15,529,989
Problem17,Random Fuzzer,5,4995.6,10.9,4982,5010
Problem17,Hill Climber,5,4546.8,154.12,4286,4667
Problem17,Concolic Execution,5,215.2,70.81,156,325
